timestep	potential_energy	temperature
179999	5598149.187	1.003961962
359999	4888822.3	0.9921250387
539999	4529766.611	0.9966654839
719999	4495161.115	0.9876232432
899999	4474007.207	0.9941341844
1079999	4473204.331	1.003031787
1259999	4478133.176	0.9977936176
1439999	4466133.126	0.9975479502
1619999	4476120.041	0.9957960226
1799999	4476273.865	0.9971299238
1979999	4499142.666	1.005138247
2159999	4489258.015	1.003465573
2339999	4493394.285	0.9973512291
2519999	4504000.14	1.001825455
2699999	4500003.724	0.9948568509
2879999	4508600.463	0.9994804616
3059999	4471513.403	0.9998777147
3239999	4485748.482	0.9970570651
3419999	4488175.466	0.9892297344
3599999	4496539.998	1.000524741
3779999	4497163.163	1.000131767
3959999	4488656.401	0.9993087488
4139999	4500199.981	1.007077537
4319999	4475864.541	1.008380795
4499999	4480935.931	1.002146197
4679999	4482872.943	1.001043041
4859999	4480761.169	1.000282017
5039999	4483901.028	0.9981211939
5219999	4460292.275	1.007185495
5399999	4496877.076	0.9935095024
5579999	4499445.59	1.0069569
5759999	4486708.819	1.009507019
5939999	4487850.44	0.999240818
6119999	4484988.694	0.9943060797
6299999	4489702.816	1.003579052
6479999	4484118.142	0.9980086643
6659999	4487888.359	1.004304309
6839999	4471543.381	1.012507227
7019999	4477400.552	1.004455439
7199999	4497213.328	1.000924758
7379999	4485195.796	0.9989697466
7559999	4476296.825	0.9893899497
7739999	4485530.14	0.9983946057
7919999	4483713.318	1.00055035
8099999	4506674.554	1.006618497
8279999	4494172.853	0.9998996989
8459999	4469470.288	1.001078011
8639999	4488740.296	1.006739396
8819999	4488676.987	0.9997690759
8999999	4479873.738	1.000936557
9179999	4532138.127	0.997965758
9359999	4490908.871	0.9978638444
9539999	4495644.418	0.9989977164
9719999	4490442.944	1.004861485
9899999	4479812.816	1.001881451
10079999	4488621.757	1.001014996
10259999	4478680.071	1.001289869
10439999	4477449.974	1.003927103
10619999	4458419.099	0.9994587097
10799999	4498501.326	1.012861126
10979999	4527889.339	0.9946976406
11159999	4474802.101	0.9980074028
11339999	4494245.176	1.003687013
11519999	4486864.718	1.003044517
11699999	4487661.769	0.9973274644
11879999	4502545.531	0.9954500438
12059999	4497229.652	0.9967763725
12239999	4508339.52	1.004674048
12419999	4481807.198	0.9965119946
12599999	4502923.685	0.9931326543
12779999	4500006.948	0.9994426902
12959999	4499707.167	1.000655667
13139999	4481992.963	1.003679404
13319999	4511769.52	1.00124806
13499999	4496476.553	0.9989232463
13679999	4498424.298	1.005267693
13859999	4509597.234	0.9973723532
14039999	4487843.559	0.9909830387
14219999	4494942.157	1.002738015
14399999	4500981.11	0.9955141384
14579999	4490077.901	1.002058824
14759999	4493153.909	1.00241408
14939999	4509035.59	1.001916093
15119999	4488857.778	0.9932104273
15299999	4483437.915	1.003037528
15479999	4482255.996	0.9899311818
15659999	4498634.364	0.9978804861
15839999	4484709.346	1.006823583
16019999	4503406.952	1.00147256
16199999	4510336.208	1.001107998
16379999	4516143.351	1.002986698
16559999	4496843.418	1.007451621
16739999	4478931.217	0.9996506912
16919999	4487869.85	0.9942597915
17099999	4479106.272	1.000164219
17279999	4483300.927	1.003176385
17459999	4483294.694	0.9913696187
17639999	4479188.689	0.9983343351
17819999	4501499.488	0.9962759634
17999999	4479278.28	0.9990438547
18179999	4500130.244	0.9960698766
18359999	4490449.578	1.005288408
18539999	4485299.243	1.002285923
18719999	4490325.8	1.005510447
18899999	4486685.177	1.00392194
