timestep	potential_energy	temperature
179999	443853.8353	1.035667953
359999	471055.1255	0.9874021778
539999	446363.3468	1.008450705
719999	453524.2105	0.9782085127
899999	430602.0654	1.026706097
1079999	477479.9534	0.9746888402
1259999	429452.4569	0.9653914964
1439999	443149.3444	1.001218018
1619999	454909.2873	1.035797115
1799999	428882.0157	1.00666963
1979999	430613.4788	0.9937436003
2159999	464841.5713	0.9971024975
2339999	424223.3631	0.9798070051
2519999	455212.1445	1.01284941
2699999	424060.7637	1.024181928
2879999	445996.6855	1.045349464
3059999	453928.559	0.9823316051
3239999	470647.5796	1.026826387
3419999	424033.7948	1.003586669
3599999	464316.829	0.9875028054
3779999	427716.9302	0.9813891711
3959999	424937.5165	0.9752889211
4139999	439478.7568	1.036634169
4319999	438841.5766	0.9988469197
4499999	433400.438	1.050663054
4679999	430824.5536	1.001698951
4859999	434256.3027	0.9762789806
5039999	430311.004	0.9807265349
5219999	423691.9747	0.9751809671
5399999	430482.4206	0.987748035
5579999	478223.8075	0.9917181887
5759999	460640.1447	1.0004953
5939999	425427.4731	1.002282655
6119999	477774.1217	0.9927851966
6299999	476590.3355	0.9924447427
6479999	451108.8153	0.9985909777
6659999	440545.4712	1.006819956
6839999	425324.1262	0.9894679637
7019999	468443.1468	0.9742020828
7199999	434924.7604	0.9715704448
7379999	425775.7832	1.02031649
7559999	426136.6785	0.9777309003
7739999	451501.8766	1.025518752
7919999	428219.0006	0.9735275598
8099999	425788.1373	0.9896569325
8279999	459635.0065	0.9932291336
8459999	422265.4671	0.9939325916
8639999	442509.9376	0.9836261568
8819999	434057.9977	1.011025165
8999999	479335.4193	1.003324371
9179999	438274.2391	1.00169859
9359999	444443.7436	0.9903907015
9539999	435630.3728	0.9911252536
9719999	483060.9386	0.9822181694
9899999	426554.1678	1.03180554
10079999	435967.3707	1.025529283
10259999	424609.0903	1.015771912
10439999	469412.7237	1.000837234
10619999	434976.6314	0.9896252246
10799999	456476.5483	1.001558774
10979999	428966.8919	1.013411145
11159999	422992.0594	0.9879720499
11339999	433986.1754	0.9895485608
11519999	434869.4531	1.006017571
11699999	491225.4489	1.027930105
11879999	429790.9356	1.002424072
12059999	428203.6656	1.005763845
12239999	425141.9614	0.9572165337
12419999	439827.6801	0.9678914434
12599999	472802.6455	0.9983420609
12779999	424230.8208	1.0139849
12959999	422230.861	0.9904005403
13139999	431450.5479	1.028134213
13319999	422401.5475	0.9875680213
13499999	441344.5239	0.9916342954
13679999	449298.8684	0.9805113745
13859999	493597.7929	0.964143191
14039999	424975.0371	0.9922279893
14219999	461135.3171	0.9883333777
14399999	434857.5914	0.9943576721
14579999	486556.0907	0.9930930498
14759999	430861.4952	0.9999004057
14939999	426707.7372	0.984893113
15119999	450392.07	1.024862536
15299999	426166.0103	1.006007897
15479999	458244.4901	1.012755488
15659999	426981.1388	1.015353753
15839999	423403.6362	1.033598693
16019999	456674.7702	0.996627326
16199999	427805.9737	1.013139297
16379999	422038.4902	0.9972967435
16559999	423050.911	1.018855668
16739999	434397.0398	0.9898953309
16919999	429838.534	0.9956570128
17099999	460938.7514	0.9741892813
17279999	459591.9337	0.9914605839
17459999	428365.9963	1.015671176
17639999	445430.0691	1.000396601
17819999	424312.9989	1.00885357
17999999	428460.1196	1.013388151
18179999	465668.7979	0.9907608979
18359999	437168.623	1.026699402
18539999	426235.3796	0.9698653287
18719999	434915.3561	1.009829129
18899999	425329.7229	0.973262303
