timestep	potential_energy	temperature
179999	392443.5514	1.005390389
359999	393620.5357	1.000106228
539999	401280.1151	0.9873228105
719999	398754.3212	1.062282094
899999	410663.8454	0.9825746827
1079999	397984.0186	0.9872628039
1259999	384291.4194	1.01487572
1439999	396351.0292	0.9997488712
1619999	408428.7859	1.014724842
1799999	400365.0105	1.018519806
1979999	406807.7423	1.028212927
2159999	402466.3478	0.9650831602
2339999	388562.0115	1.030256925
2519999	403163.4372	0.9983431963
2699999	418884.5695	0.9835030866
2879999	404042.0028	1.016919682
3059999	389072.6414	1.004350577
3239999	420474.7043	0.9849342544
3419999	396645.492	1.008539507
3599999	390428.5407	0.9967940215
3779999	400074.9777	1.006631582
3959999	418580.8437	1.012940337
4139999	389226.2207	0.9917956199
4319999	389751.2359	1.026920003
4499999	410539.6678	0.996975359
4679999	395337.0161	1.014227767
4859999	397757.2256	1.000646224
5039999	387694.1147	1.021749869
5219999	390469.998	1.023895171
5399999	391897.2077	1.013015997
5579999	397350.188	1.000391101
5759999	389388.2496	0.9901481112
5939999	391082.5141	0.9868396902
6119999	391257.0021	1.018476981
6299999	388631.4176	0.9989759441
6479999	405119.8257	0.998517105
6659999	384507.462	0.9850889112
6839999	386295.0048	0.975873119
7019999	388947.7124	0.9694017746
7199999	390238.5764	1.010821834
7379999	389388.2993	0.9939296682
7559999	387516.1128	0.9823722582
7739999	383252.0601	1.002960497
7919999	398580.5126	1.004411043
8099999	397563.523	0.9883047415
8279999	389822.5763	1.007455744
8459999	400075.2491	1.011691273
8639999	385545.0335	1.036828721
8819999	384813.2515	1.00289563
8999999	391199.5501	0.9809752434
9179999	419410.5688	1.034021275
9359999	399764.4402	0.9857300239
9539999	420295.0194	1.024599631
9719999	395850.2516	1.023073571
9899999	382613.69	1.003509278
10079999	388408.4545	1.015281952
10259999	386420.5403	1.003517109
10439999	410084.8074	0.9977954264
10619999	389405.0495	1.030897985
10799999	384939.0103	1.013753834
10979999	399770.56	1.016078925
11159999	382973.6488	0.9868546051
11339999	393167.345	0.9839285201
11519999	399902.3977	1.020672358
11699999	389749.5295	1.016254934
11879999	394651.5356	1.023582397
12059999	409358.3735	1.000804852
12239999	400992.1697	0.9794649757
12419999	384244.5274	1.031270434
12599999	389666.2773	0.9867926432
12779999	390565.8258	1.005658278
12959999	419638.5001	0.9501036852
13139999	392256.9537	1.008552225
13319999	386300.3439	0.983398734
13499999	391078.9999	1.035892828
13679999	415525.8396	0.9853647076
13859999	390294.9641	0.9980979761
14039999	413122.3733	1.03095924
14219999	397029.3689	0.9958909823
14399999	390691.5534	0.9913559343
14579999	394866.1845	1.005281793
14759999	384452.3791	1.040093851
14939999	381152.7992	1.011315991
15119999	389129.1644	0.9829312723
15299999	389132.0256	1.000057317
15479999	407113.9322	1.000720822
15659999	386192.2555	0.9956271397
15839999	417582.9993	1.039388665
16019999	400181.3347	0.9985682465
16199999	407597.6336	0.9830180128
16379999	399624.3179	1.016246943
16559999	402561.0813	1.019478548
16739999	402977.252	0.9643424547
16919999	421651.2112	1.009391532
17099999	398410.898	0.9953280057
17279999	390901.2165	0.9956512439
17459999	418341.3363	1.042914529
17639999	399939.1397	1.003228253
17819999	404612.0923	1.027726684
17999999	388535.8924	0.9952246112
18179999	399939.8012	0.9752640758
18359999	390627.5229	1.026290166
18539999	399389.1847	1.01697126
18719999	418783.7206	0.9646295631
18899999	385908.2193	1.026499032
