timestep	potential_energy	temperature
179999	10424660.09	1.002194979
359999	9761404.324	0.9989404433
539999	9731543.549	1.004016701
719999	9717203.012	1.000364086
899999	9933861.082	1.005493643
1079999	9789474.996	1.004044168
1259999	9781655.504	0.9964914485
1439999	9818307.909	1.006480504
1619999	9746987.113	0.9996443356
1799999	9800998.873	0.9946431397
1979999	9794013.457	0.9975263434
2159999	9830753.908	0.9947920361
2339999	9795252.666	1.001027135
2519999	9804774.717	1.00360434
2699999	9768554.192	1.003061307
2879999	9785839.084	1.001929018
3059999	9744713.229	1.00001029
3239999	9825141.64	0.9976684565
3419999	9836705.301	0.9997923789
3599999	9818321.784	0.9969648257
3779999	9785586.701	1.002581223
3959999	9876924.033	1.000757201
4139999	9819828.613	0.9997180353
4319999	9822286.957	1.004546265
4499999	9776025.767	0.9950051117
4679999	9775601.961	0.992646764
4859999	9837648.269	1.00215825
5039999	9828155.173	0.9948491761
5219999	9824683.015	0.9984999016
5399999	9775208.875	0.9947479324
5579999	9838301.304	0.9936736001
5759999	9792624.09	0.9973402972
5939999	9765603.565	1.00445365
6119999	9842131.124	1.005796769
6299999	9871088.426	0.9993504285
6479999	9822948.47	0.9985101133
6659999	9772761.07	0.9959721383
6839999	9834582.915	0.9952393797
7019999	9851510.438	1.000516682
7199999	8217220.025	1.00227118
7379999	8219904.981	1.002013385
7559999	8226110.048	0.9921874457
7739999	8220647.771	1.003772901
7919999	8213184.089	0.9991976659
8099999	8218828.85	0.9956511385
8279999	8216960.193	0.9989452643
8459999	8220267.45	0.9988428504
8639999	8230693.489	1.011145859
8819999	8218573.469	1.01445389
8999999	8208267.823	1.001075815
9179999	8227432.295	1.005256396
9359999	8220963.623	0.9966084672
9539999	8217910.771	1.001995276
9719999	8212856.058	1.005739304
9899999	8213830.859	1.002313344
10079999	8234660.41	1.011861226
10259999	8220920.872	0.9974441816
10439999	8211266.112	0.9946621255
10619999	8216903.6	1.006188328
10799999	8220043.718	1.006637752
10979999	8214336.732	1.009112649
11159999	8220068.866	1.006661453
11339999	8214950.758	0.9998057149
11519999	8225181.415	0.9908806939
11699999	8233294.852	1.001436175
11879999	8221202.642	1.000674603
12059999	8214910.28	1.007852145
12239999	8222286.683	0.9964234122
12419999	8211931.725	0.9958162436
12599999	8214976.46	0.9971233015
12779999	8217981.728	1.000301626
12959999	8227450.788	1.001613243
13139999	8217554.597	1.001149849
13319999	8227005.545	1.007179184
13499999	8215100.859	1.001157141
13679999	8210462.387	1.005657613
13859999	8221195.011	1.000022965
14039999	8236533.487	1.003487607
14219999	8215575.549	1.003104164
14399999	8225745.932	1.004637031
14579999	8231558.341	1.006388555
14759999	8228592.37	1.005484468
14939999	8216673.814	1.008768793
15119999	8216291.446	0.9942015716
15299999	8224052.924	1.002962287
15479999	8211493.401	0.9969810792
15659999	8222174.837	1.005150668
15839999	8224800.852	0.9950918415
16019999	8249811.225	0.9980134664
16199999	8220213.702	0.9891764486
16379999	8209601.786	1.005245238
16559999	8218397.691	1.003371703
16739999	8223810.823	1.004054632
16919999	8218027.859	1.002675528
17099999	8233915.86	0.9981241762
17279999	8214016.665	0.9949694151
17459999	8209903.828	0.9984308068
17639999	8233929.977	0.9969370652
17819999	8213590.683	1.00408772
17999999	8213186.292	0.9962838816
18179999	8222254.756	0.9995939253
18359999	8215648.259	1.000584361
18539999	8219714.609	0.9990641994
18719999	8221922.579	1.001746638
18899999	8222318.2	0.9969400041
